Grid reference,Species (Combined with Common Names & Counts)
**ST**,"`NBNSYS0000006842 [Field Grasshopper], NBNSYS0000006959, NBNSYS0000007052, NBNSYS0000008526, NBNSYS0000011206 [Alder Leaf Beetle], NBNSYS0000036475 [Grey-cushioned Grimmia], NHMSYS0000332764 [Grey Squirrel], NHMSYS0000712592 [Harlequin Ladybird], NHMSYS0020109266 [Green Shieldbug], NHMSYS0020309113, NHMSYS0020309147, NHMSYS0020309271 [Box Bug], NHMSYS0020752279 [Long-winged Cone-head]`"
**ST55117532**,"`NBNSYS0000006446, NBNSYS0000006916 [Marmalade Hoverfly], NBNSYS0000007069 [Greater Bulb-Fly], NBNSYS0000007116, NBNSYS0000033260`"
**ST55137528**,`NHMSYS0021122529`
**ST55147528**,`NBNSYS0000007052`
**ST55157544**,`NBNSYS0000008324 [7-spot Ladybird]`
**ST551742**,"`NBNSYS0000022259 [Wall Scalewort], NBNSYS0000036132 [Bank Haircap], NBNSYS0000036745 [Crisped Neckera], NBNSYS0000036884 [Common Striated Feather-moss], NBNSYS0000036948 [Chalk Comb-moss], NBNSYS0100005429 [Thickpoint Grimmia], NHMSYS0000310101 [Larger Mouse-tail Moss], NHMSYS0021597947 [Slender Mouse-tail Moss]`"
**ST551743**,`NHMSYS0000875595 [Buff-tailed Bumblebee]`
**ST551745**,"`NBNSYS0100005429 [Thickpoint Grimmia], NHMSYS0000309875 [Petty Pocket-moss], NHMSYS0020695905 [Matted Feather-moss]`"
**ST551751**,`NHMSYS0000080156 [Great Crested Newt(2)]`
**ST551752**,`NBNSYS0000030365 [Locust Blowfly]`
**ST551754**,"`NBNSYS0000005637 [Broad-bodied Chaser], NBNSYS0000006862, NBNSYS0000006916 [Marmalade Hoverfly], NBNSYS0000006985, NBNSYS0000007047, NBNSYS0000007052, NBNSYS0000007054, NBNSYS0000007057, NBNSYS0000007061 [Batman Hoverfly], NBNSYS0000007095, NBNSYS0000007110, NBNSYS0000007115`"
**ST551760**,`NHMSYS0001701949 [Brown-lipped Snail]`
**ST55197546**,`NBNSYS0000007061 [Batman Hoverfly]`
**ST55207520**,`NBNSYS0000007007`
**ST55207524**,`NBNSYS0000006933`
**ST55217481**,`NHMSYS0021616456 [Silky Wall Feather-moss]`
**ST55217518**,`NBNSYS0000007061 [Batman Hoverfly]`
**ST55217519**,`NBNSYS0000006916 [Marmalade Hoverfly]`
**ST55217525**,`NBNSYS0000006916 [Marmalade Hoverfly]`
**ST55227518**,`NBNSYS0000007054`
**ST55237516**,"`NBNSYS0000006446, NBNSYS0000007052, NBNSYS0000007054`"
**ST55247546**,"`NBNSYS0000007825 [Broad Centurion], NBNSYS0000007890 [Band-eyed Brown Horsefly], NBNSYS0000007942 [Dotted Bee-fly], NBNSYS0000007943 [Dark-edged Bee-fly(2)]`"
**ST552743**,"`NBNSYS0000007874 [Notch-horned Cleg(5)], NBNSYS0000007881 [Bright Horsefly], NHMSYS0020109270(2)`"
**ST552745**,`NBNSYS0000006871`
